"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.353022166E1,-6.941223145E0,-1.417846680E1,4.897003174E1
2.363047190E1,-5.294799805E0,-1.486358643E1,5.104370117E1
2.373023386E1,-5.867004395E0,-1.384735107E1,4.896697998E1
2.378016062E1,-3.895568848E0,-1.393280029E1,4.985351562E1
2.388013621E1,-6.147766113E0,-1.295928955E1,5.090026855E1
2.398038645E1,-4.692077637E0,-1.499328613E1,5.089416504E1
2.403009959E1,-4.840087891E0,-1.484832764E1,5.104217529E1
2.413007517E1,-2.777099609E0,-1.671142578E1,5.326538086E1
2.423005076E1,-2.760314941E0,-1.641998291E1,5.029296875E1
2.428003855E1,-1.223754883E0,-1.592407227E1,5.043640137E1
2.438001414E1,-3.469848633E0,-1.480560303E1,5.103912354E1
2.448002024E1,-5.339050293E0,-1.620178223E1,5.148620605E1
2.452997751E1,-5.847167969E0,-1.310119629E1,5.030670166E1
2.462995310E1,-6.202697754E0,-1.474456787E1,5.045166016E1
2.472992869E1,-5.668640137E0,-1.235504150E1,4.986114502E1
2.477991648E1,-7.395935059E0,-1.389007568E1,5.149536133E1
2.487989206E1,-4.876708984E0,-1.588592529E1,5.252685547E1
2.497986765E1,-6.405639648E0,-1.623382568E1,5.148925781E1
2.503009959E1,-5.946350098E0,-1.622161865E1,5.074462891E1
2.512983103E1,-6.858825684E0,-1.609802246E1,5.193634033E1
2.522980662E1,-6.680297852E0,-1.550445557E1,4.926147461E1
2.527979441E1,-6.858825684E0,-1.609802246E1,5.193634033E1
2.538007517E1,-7.621765137E0,-1.642303467E1,4.941253662E1
2.547977610E1,-5.496215820E0,-1.635437012E1,5.118865967E1
2.552973337E1,-6.719970703E0,-1.654205322E1,5.148925781E1
2.562977000E1,-5.584716797E0,-1.442871094E1,5.030212402E1
