"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.952276879E1,1.532745361E1,-9.770202637E0,5.207672119E1
1.957275658E1,1.389770508E1,-6.994628906E0,5.163879395E1
1.962274438E1,1.346588135E1,-6.266784668E0,5.119476318E1
1.965130883E1,1.710357666E1,-6.596374512E0,5.162963867E1
1.972271996E1,1.543273926E1,-6.350708008E0,5.401306152E1
1.977273828E1,1.635894775E1,-5.874633789E0,5.371551514E1
1.987268334E1,1.588439941E1,-2.037048340E0,5.000762939E1
1.992267114E1,1.631622314E1,-2.763366699E0,5.104522705E1
2.002264672E1,1.747894287E1,3.906250000E-1,5.178985596E1
2.007265837E1,1.704559326E1,9.643554688E-1,4.956512451E1
2.012262265E1,1.840515137E1,8.636474609E-1,5.193634033E1
2.015130917E1,1.638946533E1,4.212951660E0,4.971923828E1
2.022259824E1,1.722564697E1,6.462097168E0,4.823608398E1
2.027258603E1,1.791381836E1,4.409790039E0,5.105438232E1
2.037255055E1,1.668090820E1,8.676147461E0,5.136108398E1
2.042253834E1,1.701202393E1,9.426879883E0,5.002441406E1
2.052251393E1,1.578216553E1,9.243774414E0,5.270233154E1
2.057250172E1,1.580352783E1,9.838867188E0,5.240631104E1
2.062252003E1,1.425018311E1,1.334686279E1,4.959411621E1
2.065129811E1,1.367492676E1,1.436614990E1,4.929962158E1
2.072246510E1,1.150665283E1,1.326446533E1,5.138397217E1
2.077245289E1,1.234283447E1,1.551361084E1,4.974975586E1
2.087245900E1,1.061248779E1,1.827545166E1,4.752960205E1
2.092244679E1,1.075897217E1,1.813201904E1,4.723205566E1
2.102239186E1,1.183471680E1,1.846313477E1,4.767608643E1
2.107237965E1,1.037597656E1,2.049713135E1,4.872436523E1
2.112236744E1,8.886718750E0,2.133941650E1,4.754028320E1
2.115129811E1,8.131408691E0,2.131195068E1,4.561004639E1
2.122237355E1,7.368469238E0,2.128753662E1,4.561157227E1
2.127233082E1,7.083129883E0,2.187347412E1,4.635620117E1
2.137230641E1,6.869506836E0,2.008819580E1,4.769287109E1
2.142229420E1,3.504943848E0,1.938934326E1,4.710388184E1
2.152230030E1,2.066040039E0,2.171325684E1,4.458618164E1
2.157225758E1,1.629638672E0,2.229309082E1,4.399261475E1
2.162224537E1,2.046203613E0,2.111968994E1,4.503173828E1
2.165129811E1,1.553344727E0,1.991577148E1,4.398803711E1
2.172222096E1,1.152038574E0,2.153472900E1,4.295349121E1
2.177223927E1,1.116943359E0,2.049407959E1,4.339752197E1
2.187218434E1,-1.446533203E0,2.100677490E1,4.221496582E1
2.192217213E1,-2.807617188E0,2.126007080E1,4.221954346E1
2.202214772E1,-3.221130371E0,2.258300781E1,4.222412109E1
2.207216603E1,-9.063720703E-1,2.354431152E1,4.132995605E1
2.212215382E1,-2.616882324E0,2.245483398E1,4.162750244E1
2.215129811E1,-1.100158691E0,2.235260010E1,4.221649170E1
2.222209889E1,-1.661682129E0,2.366790771E1,4.043884277E1
2.227208668E1,-2.981567383E0,2.510986328E1,3.910522461E1
2.237206227E1,-2.627563477E0,2.660369873E1,3.866271973E1
2.242205006E1,-2.265930176E0,2.379608154E1,4.058837891E1
2.252202565E1,-5.389404297E0,2.562255859E1,3.703308105E1
2.257201344E1,-4.312133789E0,2.610168457E1,3.777618408E1
2.262203175E1,-5.088806152E0,2.563476562E1,3.836975098E1
2.265129811E1,-6.625366211E0,2.514190674E1,3.822479248E1
2.272197682E1,-8.282470703E0,2.553253174E1,3.778381348E1
2.277196461E1,-7.824707031E0,2.554779053E1,3.733520508E1
2.287194020E1,-1.033172607E1,2.783966064E1,3.526763916E1
2.292195851E1,-1.273040771E1,2.880401611E1,3.482971191E1
2.302190358E1,-1.519470215E1,2.783813477E1,3.542785645E1
2.307189137E1,-1.428833008E1,2.771606445E1,3.527679443E1
2.312187916E1,-1.689910889E1,2.689361572E1,3.498382568E1
2.315129811E1,-1.818542480E1,2.462615967E1,3.453826904E1
2.322188526E1,-1.758422852E1,2.464752197E1,3.706207275E1
2.327184254E1,-1.721343994E1,2.199096680E1,3.735351562E1
2.337181813E1,-1.598815918E1,2.217407227E1,3.616485596E1
2.342180592E1,-1.539459229E1,2.190093994E1,3.898468018E1
2.352181202E1,-1.562347412E1,1.967010498E1,3.987426758E1
2.357176930E1,-1.557006836E1,2.130126953E1,3.957977295E1
